,INVENTARISASI ASET SUNGAI ( Towari - Lasusua ) DI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Sungai,I. INFORMASI WILAYAH SUNGAI,,,II. KODIFIKASI,,,Kondisi,III. LOKASI,III. LOKASI,,IV. MANFAAT,,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,VI. KOORDINAT,
,,WS,DAS,Status,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,,Kabupaten,Kecamatan,Kelurahan,Irigasi (Ha),DMI (m3/dtk),PLTA,Ternak (ekor),Orde,Luas Das (Km2),Panjang Sungai (Km),Lebar Max (m),"Kelerengan rata""",Q max (m3 / detik),Keterangan,E,S
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
28,Mangolo,Towari - Lasusua,Mangolo,Non Lintas,1,3,740400008,Baik,Kolaka,,,,1.45,-,,1,158.82,24.25,,,,,,
29,Balandete,Towari - Lasusua,Balandete,Non Lintas,1,3,740400009,Baik,Kolaka,Kolaka,Balandete,,0.57,-,,1,88.71,17.2,,30°,,,"4°4'12,75""","121°37'23,83"""
30,Sambilambo,Towari - Lasusua,Sambilambo,Non Lintas,1,3,740400010,Baik,Kolaka,Kolaka,Sabilambo,,15.35,"PLTM 4,8 MW",,2,386.52,46.5,,,,,,
31,Koloimbu,Towari - Lasusua,Sambilambo,Non Lintas,1,3,740400011,Baik,Kolaka,,,,15.35,-,,1,386.52,14.3,,,,,,
32,Mekongga,Towari - Lasusua,Mekongga,Non Lintas,1,3,740400012,Baik,Kolaka,,,,3.03,-,,1,173.79,34.6,,,,,,
33,Huko-huko,Towari - Lasusua,Huko-huko,Non Lintas,1,3,740400013,Baik,Kolaka,Pomalaa,Huko-huko,,1.2,-,,1,63.25,28.5,,,,,,
34,Baula,Towari - Lasusua,Huko-huko,Non Lintas,1,3,740400014,Baik,Kolaka,,,,1.2,-,,2,63.25,19.25,,,,,,
35,Wundulako,Towari - Lasusua,Wundulako,Non Lintas,1,3,740400015,Baik,Kolaka,,,,0.59,-,,1,133.74,21.7,,,,,,
36,Oko-oko,Towari - Lasusua,Oko-oko,Non Lintas,1,3,740400016,Baik,Kolaka,Pomalaa,Oko-oko,,0.78,-,,1,180.75,49.2,,,,,,
37,Pepalia,Towari - Lasusua,Pepalia,Non Lintas,1,3,740400017,Baik,Kolaka,Tanggetada,Popalia,,0.08,-,,1,109.81,8.75,,,,,,
38,Wolulu,Towari - Lasusua,Wolulu,Non Lintas,1,3,740400018,Baik,Kolaka,Polinggona,Walunggere,,0.32,-,,1,162.43,48.75,,,,,,
39,Polinggona,Towari - Lasusua,Wolulu,Non Lintas,1,3,740400019,Baik,Kolaka,Polinggona,Polinggona,,0.32,-,,2,162.43,25.35,,,,,,
40,Poturua,Towari - Lasusua,Poturua,Non Lintas,1,3,740400020,Baik,Kolaka,Watubangga,Watubangga,,0.03,-,,1,20.58,7.6,,,,,,
41,Poeho,Towari - Lasusua,Poeha,Lintas Kabupaten,1,3,740400021,Baik,Kolaka,Watubangga,,,0.51,-,,1,159.13,46.56,,,,,,
42,Towari,Towari - Lasusua,Towari,Lintas Kabupaten,1,3,740400022,Baik,Kolaka,Toari,Toari,,4.4,-,,1,490.01,51.2,,,,,,
1,Lambolaro,Lasolo - Konaweha,Lambolaro,Non Lintas,1,3,741000001,Baik,Konawe Utara,Langgikima,Lameruru,,0.76,,,1,23.2225,x,,,,,,
2,Molore,Lasolo - Konaweha,Molore,Non Lintas,1,3,741000002,Baik,Konawe Utara,Oheo,Paka Indah,,3.61,,,1,109,x,,,,,,
3,Boenaga,Lasolo - Konaweha,Boenaga,Non Lintas,1,3,741000003,Baik,Konawe Utara,Lasolo,Boenaga,,0.62,,,1,18.8757,x,,,,,,
4,Kendari,Lasolo - Konaweha,Kendari,Non Lintas,1,3,741000004,Baik,Konawe Utara,,,,0.36,,,1,11.0669,x,,,,,,
5,Morombo,Lasolo - Konaweha,Morombo,Non Lintas,1,3,741000005,Baik,Konawe Utara,Morombo,Morombo,,1.53,,,1,46.5157,x,,,,,,
