,,DATA INFRASTRUKTUR AIR BAKU SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Nama Air Baku,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,,IV. MANFAAT,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,VI. KOORDINAT,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten/ Kota,Kecamatan,Kelurahan / Desa, RT ,Irigasi (Ha),Nama DI,Jenis Pompa,Debit Pompa (ltr/dtk),Jenis Bangunan,Tahun Pembuatan,Tahun Rehab Terakhir,S°,E°,Keterangan
,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,Laramo,Lasolo - Konaweha,DAS Lembo,1,21,741000001,Konawe Utara,Lembo,Laramo,,-,-,-,10,Bendung,2016,-,-3.780833,122.285,-
2,Pondomouko,Lasolo - Konaweha,DAS Lembo,1,21,741000002,Konawe Utara,Sawa,Pondomouko,,-,-,-,10,Bendung,2016,-,-3.84,122.37,-
3,Kantalae / karaha ,Buton,DAS Malaoge,1,21,747200003,Baubau,Lea - Lea,kantalae,,-,-,Centrifugal,50,Broungcaptering,2016,-,"5° 22' 42,66""","122° 39' 26,10""",-
4,Lamapu,Poleang - Roraya,DAS Rodaroda,1,21,740500008,Konawe Selatan,Kolono,Lamapu,,-,-,-,10,Bendung,2016,-,-4.358539,122.735528,-
5,Kolono,Poleang - Roraya,,,,,Konawe Selatan,Kolono,"Desa Lamapu, Desa Roda, Desa Saran Dua",,-,-,,10,Bendung,2016,-,4º15’07”,120º1’51”,-
6,Sorawalio,Buton,DAS Bau-bau,1,21,747200001,Baubau,Sorawolio,Sorawolio,"5,760",-,-,Gravitasi,50,Bendung,2010-2011,-,-5.447214,122.693111,-
7,Lalonggaluku,Lasolo - Konaweha,DAS Kokapi,1,21,740300001,Konawe  - Kendari,Bondoala - Mandonga,Lalonggaluku - Labibia - Mandonga,"3,840",-,-,Centrifugal,100,Broungcaptering,2010-2011,-,-3.945556,122.438911,Jaringan (Kel. Labibia dan Kel. Mandonga)
8,Wakoko,Buton,DAS Wakoko,1,21,740100001,Buton,Pasarwajo,Wakoko,"5,184",-,-,Centrifugal,90,Broungcaptering,2013 - 2015,-,-5.464139,123.851794,-
9,Gunung Sari,Towari - Lasusua,DAS Poeha,1,21,740400003,Kolaka,Watubangga,Gunung Sari - Tandebura,576,-,-,Sabmersibel,10,Sumur Air Tanah,2013 - 2015,-,-4.509044,121.521594,Jaringan (Desa Tandebura)
10,Suka Mukti,Poleang - Roraya,DAS Moolo,1,21,740500004,Konawe Selatan,Lalembu,Suka Muti,576,-,-,Centrifugal,10,Broungcaptering,2013 - 2016,-,-4.328211,122.121864,-
11,Gunung Sejuk,Buton,DAS Wakoko,1,21,740100003,Buton Selatan,Sampalawa,Gunung Sejuk - Tira Bahari,"2,304",-,-,Centrifugal,40,Broungcaptering,2013-2015,-,-5.625583,123.728156,Jaringan (Desa Tira Bahari)
