1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
14,LM. 01,Poleang - Roraya,DAS Roraya,1,9,740500101,Konawe Selatan,Basala,Lipumasagena,24,24,D.I. Lipumasagena,,20.46,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'44.77""","122°4'42.41"""
15,P. 28KDI,Poleang - Roraya,DAS Kambu,1,9,740500008,Konawe Selatan,Ranomeeto,Ranomeeto II,13,13,D.I. Ranomeeto,,13.2,,,,,,,,,,,,,50,,1994/1995,,,,,,,,,,,,,,,,,"4°3'6.22""","122°27'40.06"""
16,LM. 02,Poleang - Roraya,DAS Roraya,1,9,740500102,Konawe Selatan,Basala,Lipumasagena,10,10,D.I. Lipumasagena,,10,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'57.64""","122°4'21.31"""
17,P. 05 BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600005,Bombana,Rumbia,Aneka Marga,15,15,D.I. Aneka Marga,,13.5,,,,,,,,,,,,,-,,1994/1995,,,,,,,,,,,,,,,,,"4°39'30.31""","121°59'19.06"""
18,LM. 03,Poleang - Roraya,DAS Roraya,1,9,740500103,Konawe Selatan,Basala,Lipumasagena,6,6,D.I. Lipumasagena,,4.9,,,,,,,,,,,,,-,,2007,,Tidak Ada Mesin,,,,,,,,,,,,,,,4°17'37.54,"122°4'41.80"""
19,P. 29KDI,Lasolo - Konaweha,DAS Konaweha,1,9,740500041,Konawe Selatan,Landono,Landono,12,12,D.I. Landono,,14,,,,,,,,,,,,,-,,1994/1995,,,,,,,,,,,,,,,,,,
20,LM. 04 A,Poleang - Roraya,DAS Roraya,1,9,740500104,Konawe Selatan,Basala,Lipumasagena,20,20,D.I. Lipumasagena,,18.84,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'54.47""","122°4'112.78"""
21,P. 3 AB,Poleang - Roraya,DAS Kambu,1,9,740500030,Konawe Selatan,Konda,MAN. Konda,12,12,,,8,,,,,,,,,,,,,-,,2006,,,,,,,,,,,,,,,,,,
22,LM. 06,Poleang - Roraya,DAS Roraya,1,9,740500105,Konawe Selatan,Basala,Lipumasagena,17,17,D.I. Lipumasagena,,15.37,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'46.38""","122°4'2.12"""
23,P. 30 Kdi,Poleang - Roraya,DAS Parasi,1,9,740500084,Konawe Selatan,Palangga,Onembute,14,14,D.I. Onembute,,13.8,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
24,LM. 07,Poleang - Roraya,DAS Roraya,1,9,740500106,Konawe Selatan,Basala,Lipumasagena,8,8,D.I. Lipumasagena,,10.01,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'30.74""","122°4'19.49"""
25,P. 05BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600006,Bombana,Rumbia,Aneka Marga,20,20,D.I. Aneka Marga,,12.5,,,,,,,,,,,,,-,,1994/1995,,,,,,,,,,,,,,,,,,
26,LM. 08,Poleang - Roraya,DAS Roraya,1,9,740500107,Konawe Selatan,Basala,Lipumasagena,10,10,D.I. Lipumasagena,,12.32,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'34.50""","122°4'10.70"""
27,P. 07BTn,Poleang - Roraya,DAS Lantawanua,1,9,740600007,Bombana,Rumbia,Aneka Marga,10,10,D.I. Aneka Marga,,13.5,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
28,LM. 09 A,Poleang - Roraya,DAS Roraya,1,9,740500108,Konawe Selatan,Basala,Lipumasagena,8,8,D.I. Lipumasagena,,5.19,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'43.87""","122°3'59.69"""
29,P. 31KDI,Lasolo - Konaweha,DAS Konaweha,1,9,740500039,Konawe Selatan,Landono,Mowila,12,12,D.I. Mowila,,12,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
30,LM. 10,Poleang - Roraya,DAS Roraya,1,9,740500109,Konawe Selatan,Basala,Lipumasagena,15,15,D.I. Lipumasagena,,16.5,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'36.86""","122°3'57.69"""
31,P. 08BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600008,Bombana,Rumbia,Aneka Marga,10,10,D.I. Aneka Marga,,13.5,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°38'24.89""","121°59.21.16"""
32,LM. 11,Poleang - Roraya,DAS Roraya,1,9,740500110,Konawe Selatan,Basala,Lipumasagena,8,8,D.I. Lipumasagena,,7.17,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'46.00""","122°3'47.63"""
33,P. 32KDI,Poleang - Roraya,DAS Roraya,1,9,740500054,Konawe Selatan,Tinanggea,Roraya I,15,15,D.I. Roraya,,20.6,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
34,LM. 12,Poleang - Roraya,DAS Roraya,1,9,740500111,Konawe Selatan,Basala,Lipumasagena,4,4,D.I. Lipumasagena,,0.51,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,,
35,P. 09BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600009,Bombana,Rumbia,Aneka Marga,15,15,D.I. Aneka Marga,,13,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°38'31.70""","122°59.20.96"""
36,LM. 13,Poleang - Roraya,DAS Roraya,1,9,740500112,Konawe Selatan,Basala,Lipumasagena,8,8,D.I. Lipumasagena,,12.08,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'37.04""","122°3'43.32"""
37,P. 33KDI,Poleang - Roraya,DAS Roraya,1,9,740500055,Konawe Selatan,Tinanggea,Roraya II,10,10,D.I. Roraya,,14.2,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
38,LM. 14,Poleang - Roraya,DAS Roraya,1,9,740500113,Konawe Selatan,Basala,Lipumasagena,8,8,D.I. Lipumasagena,,12.01,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'50.44""","122°4'47.01"""
39,P. 10BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600010,Bombana,Rumbia,Aneka Marga,12,12,D.I. Aneka Marga,,12.2,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°38'32.55""","121°59'28.84"""
40,P. 01 KDI,Poleang - Roraya,DAS Kambu,1,9,740500001,Konawe Selatan,Ranomeeto,Jati Bali,18,18,D.I. Jati Bali,,9,,,,,,,,,,,,,-,,1993/1994,,,,,,,,,,,,,,,,,,
41,P. 34KDI,Lasolo - Konaweha,DAS Konaweha,1,9,740500042,Konawe Selatan,Landono,Landono,12,12,D.I. Landono,,14.5,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
42,P. 01 KLK,Towari - Lasusua,DAS Mangolo,1,9,740400001,Kolaka,Kolaka,Mangolo,0,0,D.I. Wolonggere,,4.4,,,,,,,,,,,,,87,,1997/1998,,,,,,,,,,,,,,,,,,
43,P. 11BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600011,Bombana,Rumbia,Aneka Marga,14,14,D.I. Aneka Marga,,15,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°38'32.92""","121°59'36.01"""
44,P. 01 Konut,Lasolo - Konaweha,DAS Kokapi,1,9,740900001,Konawe Utara,Sawah,Sawah,-,-,,,1.15,,,,,,,,,,,,,50,,2002,,,,,,,,,,,,,,,,,,
45,P. 35KDI,Lasolo - Konaweha,DAS Konaweha,1,9,740500045,Konawe Selatan,Landono,Mulyasari,8,8,D.I. Mulyasari,,2.5,,,,,,,,,,,,,200,,1995/1996,,,,,,,,,,,,,,,,,,
46,P. 01 MNA,Muna,DAS Katangana,1,9,740500008,Muna Barat,Maginti,Abadi Jaya,17,17,D.I. Maginti,,15.14,,,,,,,,,,,,,-,,2006,,,,,,,,,,,,,,,,,"04o  51'  12,5” ","122o  22'  34,1”"
47,P. 12BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600012,Bombana,Rumbia,Aneka Marga,14,14,D.I. Aneka Marga,,13.4,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
48,P. 13BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600013,Bombana,Rumbia,Aneka Marga,15,15,D.I. Aneka Marga,,11,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
49,P. 14BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600014,Bombana,Rumbia,Aneka Marga,15,15,D.I. Aneka Marga,,12.8,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
50,P. 01KDI,Poleang - Roraya,DAS Kambu,1,9,740500024,Konawe Selatan,Ranomeeto,Ranooha,20,20,,,19.05,,,,,,,,,,,,,-,,2000,,,,,,,,,,,,,,,,,,
