,,DATA INFRASTRUKTUR EMBUNG SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Embung,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,III. LOKASI,IV. MANFAAT,,,IV. MANFAAT,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,,,,,,,Koordinat,,,,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten / Kota,Kecamatan,Kelurahan / Desa,Irigasi (Ha),Potensi,DMI (m3/detik),Perkebunan (Ha),PLN,Ternak (ekor),Jenis Penanganan*,T.M.A sebelum Rehab (m), Kapasitas Sebelum Rehab (m3) , Irigasi Sebelum Rehab (ha) ,DMI Sebelum Rehab (m3/dtk),T.M.A sesudah Rehab (m),Kapasitas Sesudah Rehab (m3), Irigasi Sesudah Rehab (ha) ,DMI Sesudah Rehab (m3/dtk),Kapasitas Air Surut,Kapasitas Air Banjir,Tahun Pembuatan,Tahun Rehab Terakhir,Desimal,,GPS,,UTM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S°,E°,LS,BT,X,Y,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,,,,,
12,Anggotoa,Lasolo - Konaweha,DAS Konaweha,1,5,740300001,Konawe,Wawotobi,Kukuluri,"1,500", - ,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"177,000",350,-,-,"100,000","1,500",-,,,2013,-,-3.812814,122.120571,"3°48'46.130""","122°7'14.056""",402352.9095,9578513.429,*,,,,,
13,Kolaka,Towari - Lasusua,DAS Mangolo,1,5,740400001,Kolaka,Latambaga,Latambaga, - , - ,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"25,000", - ,-,-,"25,000", - ,-,,,2013,-,-4.031386,121.594942,"4°1'52.990""","121°35'41.791""",344020.9118,9554268.866,*,,,,,
14,Wundumbolo,Poleang - Roraya,DAS Roraya,1,5,740500012,Konawe Selatan,Tinanggea,Wundumbolo,65,,-, - ,-,-,Jenis Embung Baru / pemerintah,-, - , - ,-,-,"40,000",65,-,,,2013,-,-4.398222,122.153972,"4°23'53.599""","122°9'14.299""",406130.259,9513801.591,*,,,,,
15,Lalonggombu,Poleang - Roraya,DAS Roraya,1,5,740500013,Konawe Selatan,Andolo,Lalonggombu,75,100,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"25,000", - ,-,-,"25,000",75,-,,,2013,-,-4.311917,122.238528,"4°18'42.901""","122°14'18.701""",415502.9913,9523352.372,*,,,,,
16,Ngapaha,Poleang - Roraya,DAS Roraya,1,5,740500014,Konawe Selatan,Tinanggea,Asingi,75,,-, - ,-,-,Jenis Embung Baru / pemerintah,-, - , - ,-,-,"32,000",75,-,,,2013,-,-4.429944,122.216717,"4°25'47.798""","122°13'0.181""",413096.1731,9510302.415,*,,,,,
17,Gontor / Pudahoa,Lasolo - Konaweha,DAS Konaweha,1,5,740500015,Konawe Selatan,Mowila,Pudahoa,25,35,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"25,000", - ,-,-,"32,000",25,-,,,2013,-,-4.155808,122.247656,"4°9'20.909""","122°14'51.562""",416499.2109,9540610.539,*,,,,,
18,Wonua Sari,Lasolo - Konaweha,DAS Konaweha,1,5,740500016,Konawe Selatan,Mowila,Wonua Sari,20,,-, - ,-,-,Jenis Embung Baru / pemerintah,-, - , - ,-,-,"10,000",20,-,,,2013,-,-4.067864,122.246467,"4°4'4.310""","122°14'47.281""",416358.0708,9550332.207,,,,,,
19,Molo Indah,Poleang - Roraya,DAS Roraya,1,5,740500017,Konawe Selatan,Tinanggea,Moolo Indah,150,215,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"25,000", - ,-,-,"40,000",150,-,,,2013,-,-4.457528,122.299167,"4°27'27.101""","122°17'57.001""",422247.2215,9507262.295,*,,,,,
20,Tinondo,Towari - Lasusua,DAS Sambilambo,1,5,741100001,Kolaka Timur,Tinondo,Talatta,150,240,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"40,000", - ,-,-,"40,000",150,-,,,2013,-,-3.934861,121.827975,"3°56'5.500""","121°49'40.710""",369879.2914,9564981.437,*,,,,,
21,Ulu Benua,Lasolo - Konaweha,DAS Konaweha,1,5,740300002,Konawe,Amonggedo,Ulu Benua,50,165,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000", - ,-,-,"32,000",50,-,,,2014,-,-3.842061,122.253214," 3°50'31.42""","122°15'11.57""",417084.5749,9575294.214,*,,,,,
